ALink,SName,SLink,Lyric,language
/bob-sinclar/,Burning (feat. Daddy's Groove),/bob-sinclar/burning-feat-daddys-groove.html,"Babe! my heart is full in love and desire for you
And can't you see its

Burning burning burning burning
Burning burning burning burning (x8)

Babe! my heart is full in love and desire for you
Now come on down and do what you gotta do
My heart is full in love and desire for you

Now can't you see its burning? (x16)

Babe! my heart is full in love and desire for you
Now come on down and do what you gotta do
My heart is full in love and desire for you

Now cant you see its burning?",en
/eric-saade/,Imagine,/eric-saade/imagine.html,"Tone Damli:
Every step that I take
It's like miles from where I wanna be
miles away from you and me, yeah
Here I am
Standing hopeless with no plan
'cause I loved another man, yeah

Eric Saade:
She doesn't know that I am picturing you
Any day I'd walk a hundred miles in his shoes
No matter how I try
you're still inside my mind, my mind

Refrão:
Everytime we're touching, every time we're kissing,
You're the one I Imagine, you're the one I Imagine
Everytime he holds me, I rather be lonely
You're the one I Imagine, you're the one I Imagine
It should've been us, It could've been you
It will belong, with a perfect view
Everytime we're touching, every time we're kissing
You're the one I Imagine, you're the one I Imagine

Tone Damli:
Every breath that I take
It's like breathing underwater
But easy when I call out your name
Sad to say
He can never take your place
You will never be replaced

Eric Saade:
She doesn't know that I'm still thinking of you
Any day I'd run a thousand miles in his shoes
No matter how I try
I can't get you out of my mind, my mind

Refrão:
Everytime we're touching, every time we're kissing,
You're the one I Imagine, you're the one I Imagine,
Everytime he holds me, I rather be lonely
You're the one I Imagine, you're the one I Imagine
It should've been us, It could've been you
It will belong, with a perfect view
Everytime we're touching, every time we're kissing
You're the one I Imagine, you're the one I Imagine

Eric Saade:
Isn't it every little thing you do?

Tone Damli:
You're running around in my head

Eric Saade:
And I can't forget about you

Tone Damli:
I'd rather be lonely instead

Refrão:
Everytime we're touching, every time we're kissing,
You're the one I Imagine, you're the one I Imagine,
Everytime he holds me, I rather be lonely
You're the one I Imagine, you're the one I Imagine
It should've been us, It could've been you
It will belong, with a perfect view
Everytime we're touching, every time we're kissing
You're the one I Imagine, you're the one I Imagine",en
/scorpions/,Sly,/scorpions/sly.html,"She was born with a song in the air
In the summer of 85
The clouds just went and the day became so bright
A child of love angel like
With the most beautiful smile
Growing up to be the sunshine of my life

Come talk to me
Don't run away
Don't let the distance grow
The door's wide open
Don't ever think
There is no way home

Sly come home tonight
The world is so bad you're drive ‘em all mad
With your smile
Sly my joy and pride
When the runaway train took you away
A part of me died

The years went by like the summer of love
So much changed in our lives
The're too many scars deep under my skin
Love turned to hate and hate to love
Let's start all over again
And now I wonder what life will bring

Just let us laugh
The tears away
No more hard feelings no
Cause after all
You're my flesh and blood
I don't want you to fall

Sly come home tonight
The world is so bad you're drive ‘em all mad
With your smile
Sly come home alive
When the runaway train took you away
A part of me died

Sly come home tonight
The world is so bad you're drive ‘em all mad
With your smile
Sly my joy and pride
When the runaway train took you away
A part of me died",en
/mandy-moore/,I'd Rather Lose,/mandy-moore/id-rather-lose.html,"Out here looking at my phone
But it's all that I do
What do I need that I can't get from you?
Seems like you're never off the clock
Hands at ten and two
I'm driving through this world like someone's after you

I'd rather lose
I'd rather lose
If the only way to win
Is by breaking all the rules
I'd rather lose
I'd rather lose
If the only way to win
Is by breaking all the rules
I'd rather lose

Every picture that I take
Every word that I say
Ends up a footnote on my resume
Are you happy with you life?
Am I happy with mine?
Where is the innocence we hid behind?
And who were those kids who knew where to draw the line?

I'd rather lose
I'd rather lose
If the only way to win
Is by breaking all the rules
I'd rather lose
I'd rather lose
If the only way to win
Is by breaking all the rules
I'd rather lose

We only get one chance in this life
And I won't spend it playing with you
Some people roll the dice and some people doctor the truth

I'd rather lose
I'd rather lose
If the only way to win
Is by breaking all the rules
I'd rather lose
I'd rather lose
If the only way to win
Is by breaking all the rules
I'd rather lose
Oh, I'd rather lose",en
/rob-rock/,You Know,/rob-rock/you-know.html,"The air is filled with tension, I'm tired of this game
Something here is dying it don't feel the same
Lying right beside you, I find it hard to breathe
Searching for a reason that I just can't see

You know that I'm on to you, I know what I see
I see the lies reflecting in your eyes

The dream is over, losing its charm
And now betrayal fills your heart
You won't remember, you're moving on
I can't believe your passions gone

A gripping silence now fills the air
I'm reaching out but you don't care
Intense emotions hang on your sleeve
Just like a badge of enmity

No contact, no mercy, no truth to tell
Time and time again, you turn and walk away

You know that I'm on to you, I know what I see
I see the lies reflecting in your eyes
You know that I'm watching you, I know what I feel
No matter what you say I know you're trying to hide from me

No contact, no mercy, no truth to tell
Time and time again, you turn and walk away

You know that I'm on to you, I know what I see
I see the lies reflecting in your eyes
You know that I'm watching you, I know what I feel
No matter what you say I know you're trying to hide from me",en
/roger-waters/,When the Wind Blows (David Bowie),/roger-waters/when-the-wind-blows-david-bowie.html,"So long Child
I'm on my way
And after all is done
After all is done

Don't be down
It's all in the past
Though you may be afraid

So long child
It's awful dark
And I've never felt the sun
I dread to think of when
When the wind blows
When the wind blows
When the wind blows
When the wind blows

Life burns a savage moon
Angry and raw
Trusting the twisted word
You'll run run away
You'll take it all home
You'll spin a tall tale
But they won't believe you
No matter what you say

So long child
It's awful dark
And I've never felt the sun
I dread to think of when the wind blows
When the wind blows
When the wind blows
When the wind blows
",en
/oar/,Nasim Joon,/oar/nasim-joon.html,"Caught a train in a dash
Running hard from my past
Set to ride this here rail till the end
Along the way met a queen
Now, I'm her king
And we reign our kingdom from a mountaintop
Where, baby, we can be alone

Almond eyes, royal skin
This one could do me in
An I'll live this here life till the end
We will win, we will win, we're gonna win this here race
Baby, we can be alone
My baby, we can be alone

Some day I'll give it all back
The time you gave
Now, baby, we can be alone",en
/carla-bruni/,Miss You,/carla-bruni/miss-you.html,"I've been holding out so long
I've been sleeping all alone
Lord I miss you
I've been hanging on the phone
I've been sleeping all alone
I want to kiss you

OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh

OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh

Well, I've been haunted in my sleep
You've been starring in my dreams
Lord I miss you
I've been waiting in the hall
Been waiting on your call
When the phone rings
It's just some friends of mine that say
Hey, what's the matter maan?
We're going to come around at twelve
With some Puerto Rican girls that's just dyiing to meet you
We're going to bring a case of wine
Hey, let's go mess and fool around
You know, like we used to

AAh aah aah aah aah aah aah
AAh aah aah aah aah aah aah
AAh aah aah aah

Oh everybody waits so long
Oh baby why you wait so long
Won't you come on! Come on!
I've been walking in Central Park
Singing after dark
People think I'm craazy
I've been stumbling on my feet
Shuffling through the street
Asking people, ch ch ch What's the matter with you boy?
Sometimes I want to say to myself
Sometimes I say

OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh
I won't miss you child

OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh ooh ooh ooh ooh
OOh ooh ooh
I won't miss you child

I guess I'm lying to myself
It's just you and no one else
Lord I won't miss you child
You've been blotting out my mind
Fooling on my time
No, I won't miss you, baby, yeah

Lord, I miss you child

AAh aah aah aah aah aah aah
AAh aah aah aah aah aah aah
AAh aah aah aah",en
/marina/,I Am Not a Robot (Clock Opera Remix),/marina/i-am-not-a-robot-clock-opera-remix.html,"You've been acting awful tough lately
Smoking a lot of cigarettes lately
But inside, you're just a little baby
It's okay to say you've got a weak spot
You don't always have to be on top
Better to be hated than loved, loved
loved for what you're not

Never pick up, don't hang up
Our love faded, our love faded
You never pick up anything, you don't ring, ring, rung
Our love faded, our love faded

Never pick up, don't hang up
Our love faded, our love faded
You never pick up, don't hang up
Our love faded, our love faded

You've been hanging with the unloved kids
Who you never really liked and you never trusted
But you are so magnetic, you pick up all the pins
Never committing to anything
You don't pick up the phone when it ring, ring, rings
Don't be so pathetic, just open up and sing

Never pick up, don't hang up
Our love faded, our love faded
Never pick up, don't hang up
Our love faded, our love faded

Never pick up, don't hang up
Our love faded, our love faded
Never pick up, don't hang up
Our love faded, our love faded

Never pick up, don't hang up
Our love faded, our love faded
You never pick up, don't hang up
Our love faded, our love faded

Never pick up, don't hang up (never pick up, ring, ring)
You just never pick up anything, it just ring, ring, rings
Never pick up, don't hang up (never pick up, ring, ring)
You just never pick up anything
it just ring, ring, rings (our love faded, our love faded)

Never pick up, don't hang up (never pick up, ring, ring)
You just never pick up anything, it just ring, ring, rings
(our love faded, our love faded)
Never pick up, don't hang up (never pick up, ring, ring)
You just never pick up anything
it just ring, ring, rings (our love faded, our love faded)

Just, just rings
Just, just rings",en
/bobby-womack/,Jealous Love,/bobby-womack/jealous-love.html,"I gave you time
Girl, you got my world upside down
Jealous Love, ooh baby
Jealous Love
Jealous Love",en
/mariah-carey/,Heartbreaker (feat. Jay Z),/mariah-carey/heartbreaker.html,"Yeah
Aight, let's go
(16x) Gimme your love--
Hey, you gotta bounce to this like this
You're almost kinda watching this
Uh-huh
Whoo oo oo
Escape

Oh you look so good
I don't wanna let go
And although I should
I can't leave you alone
'Cause your so disarming
I'm caught-up in the midst
of you and I can not resist at all

Boy if I do
The things you want to do
The way I used to do
Could you love me baby
Holding me feelin' you
Could you go and break my heart?

Heartbreaker you've got the best of me
but I just keep on coming back incessantly
Oh why did you have to run your game on me?
I should have known right from the start
you'd go and break my heart

(Gimme your love)--8x

It's a shame to be
so euphoric and weak
when you smile at me
and you tell me the things
that you know are stated
to relinquish my love to you
but I can not resist at all

Boy if I do
The things you want to do
The way I used to do
Could you love me baby
Holding me feelin' you
Could you go and break my heart?

Heartbreaker you've got the best of me
but I just keep on coming back incessantly
Oh why did you have to run your game on me?
I should have known right from the start
you'd go and break my heart

(Jay Z Rap):
Ok
Cool
Aight
Yo
She wanna shop wit Jay
play box wit Jay
She wanna pillowfight in the middle of the night
She wanna drive my Benz with five of her friends
She wanna creep past the block, spyin' again

She wanna roll wit Jay, chase skeeos away
She wanna fight wit lame chicks, blow my day
She wanna respect the rest, kick me to the curb
if she find one strand a hair longer than hers

She want
make love in the Jacuzzi
Rub up in the movies
Access to the old crib,
keys to da newbie

She wanna
answer the phone
tatoo her arm
last one I got her
sent it back to her mom

She call me Heartbreaker
when we apart it makes her
wanna piece of paper,
scribble down ""I hate ya""

But she know she love Jay because
she love everything Jay say Jay does, and a...

Heartbreaker you've got the best of me
but I just keep on coming back incessantly
Oh why did you have to run your game on me?
I should have known right from the start
you'd go and break my heart

Heartbreaker you've got the best of me
but I just keep on coming back incessantly
Oh why did you have to run your game on me?
I should have known right from the start
you'd go and break my heart",en
/cannibal-corpse/,Disposal Of The Body,/cannibal-corpse/disposal-of-the-body.html,"[music, lyrics: Webster]
[vocal patterns: Fisher, Webster]

The basement incinerator
Is where they'll put the head
Hose the floor and clean the room
Anywhere they bled

Into boxes go the bags
Fill the space with rocks
In the dark of night
He throws them off the docks

Rotting in the river
Never to be found
Under tons of concrete
Deep beneath the ground

From behind he grabs his mouth
The blade goes to his neck
Bulging veins pumping blood
He struggles to protect

If you don't cut open the stomach
The corpse will rise and float
The victim is discovered dead
Rotting organs bloat

The killer chops the body
With a scalpel and an ax
The parts are then drained
And put into the sacks

Grab the neck, Slit the throat, take the life
Hang the corpse - Prepare to drain the blood

Bone saw, meat cleaver, filleting knife
Carve the corpse - Dissect him in the tub

Smash the teeth, slice off scars, crush the bones
With a crowbar - scrape off all tattoos

If you don't cut open the stomach
The corpse will rise and float
The victim is discovered dead
Rotting organs bloat

The killer chops the body
With a scalpel and an ax
The parts are then drained
And put into the sacks

Chunks of a skull
Sawn in half bones
Body is found
Killer unknown

[Solo - Owen]
",en
/andrea-bocelli/,A Choir Of A Thousand Cherubs,/andrea-bocelli/a-choir-of-a-thousand-cherubs.html,"Sleep, sleep,
Dream, my little love.
Sleep, dream, ,
Rest your head on my breast.

A choir of a thousand cherubs
Smiles on you from the sky
A sweet song
Caresses your brow,
A hand is gently guiding you
Through the clouds of gold,
Dreaming and keeping watch
Over you, my treasure,
Protecting your path through life.
Over you, my treasure,
Protecting your path through life.

Sleep, sleep,
Dream, my little love.
Sleep, dream,
Rest your head on my breast.

Close your eyes,
Listen to the little angels,
Sleep, sleep,
Dream, my little love.

Sleep, sleep,
Dream, my little love.
Sleep, dream, ,
Rest your head on my breast.

Close your eyes,
Listen to the little angels,
Sleep, sleep,
Dream, my little love.

Dream, my little love.",en
/foo-fighters/,Once And For All (demo),/foo-fighters/once-and-for-all-demo.html,"Oh misery, come marshal me in
No better place for me to begin
I'm coming in from out of this rain
The time has come to wash you away

The lovers are riding again
The lovers are riding again
Oh gather round, sing your sins, amen
My time has come once and for all
My time has come, this means war

Oh bring to me your broken and blue
No matter if it matters to you
A longing like never before
I've had enough, now I need more

The lovers are riding again
The lovers are riding again
Oh gather round, sing your sins, amen
My time has come once and for all
My time has come, this means war
My time has come once and for all
My time has come, this means war

Hey
Forgive me, debility
I'll sing you all my sins

My time has come once and for all
My time has come, this means war
My time has come once and for all
My time has come, this means war
My time has come, this means war
My time has come, this means war
My time has come, this means war
My time has come, this means war

The lovers are riding again
The lovers are riding again
The lovers are riding again
The lovers are riding again",en
/josh-groban/,I'll Stand by You (Duet with Helene Fischer),/josh-groban/ill-stand-by-you-duet-with-helene-fischer.html,"Oh, why you look so sad?
The tears are in your eyes
Come on and come to me now
Don't be ashamed to cry
Let me see you through
'Cause I've seen the dark side too

When the night falls on you
You don't know what to do
Nothing you confess
Could make me love you less

I'll stand by you
I'll stand by you
Won't let nobody hurt you
I'll stand by you

So if you're mad, get mad
Don't hold it all inside
Come on and talk to me now
Hey, what you got to hide?
I get angry too
Well, I'm a lot like you

When you're standing at the crossroads
And don't know which path to choose
Let me come along
'Cause even if you're wrong

I'll stand by you
I'll stand by you
Won't let nobody hurt you
I'll stand by you
Take me in, into your darkest hour
And I'll never desert you
I'll stand by you

And when, when the night falls on you, baby
You're feeling all alone
You won't be on your own

I'll stand by you
I won't let nobody hurt you
I'll stand by you
Take me in, into your darkest hour
And I'll never desert you
I'll stand by you
I'll stand by you
I won't let nobody hurt you
I'll stand by you
I'll stand by you
I won't let nobody hurt you, oh
I'll stand by you
I won't let nobody hurt you
I'll stand by you",en
/naughty-by-nature/,Feel Me Flow,/naughty-by-nature/feel-me-flow.html,"You 'bout to feel the chronicles of a bionical lyric
lyrically splittin dismissin
I'm on a mission of just hitting
now it's written and kitten hittin wit mittens
I'm missing wishing man listen
I glisten like sun and water while fishing.
Bust the move and then swerve
Serve words with nerve embedded I said it word
Damn, you nerd man, you heard
Coming from the town of Illy and alleys are
full of Phillies and Rallys suckers get
Silly as Sally then found in alleys, I'm rowdy really

1-So here we go now,
Holla if ya hear me though, come and feel me flow

Never mixing with tricking brothers bitching
Over fixins that ain't fittin to be hittin.
On nothin splittin things that's bitten
And gettin written off
Like a fatter bad bladder boy ya pissing me off
Before you even started so what
So long see you fly by my try how else
Could I say it when you play it try boom bye bye.
(rpt 1, 1)

The flow pro poetical with skills only
A vet'll know better know where's
The wetter flow that'son point like
Decimals manhandlin new crews
Partying with the Zoo Crew
Looking for the pink in poo poo.
I thought you knew too stone style is of stamina
Jammin ta while we plannin ta jam
We bust plus we're the party
Amateur damager managin damagin mics
Men and even mannequins.
You're a fan again now I wanna know whose the man again?
Naughty's back like vertibrates word to hey-a-ho
The way I show you pray I flow
Steady breakin to the boogie so bang time
To slang bang and watch all the poo tang tangs hang
(rpt 1, 1)

Play and Kay'll break the body of a beat
The beat the break into boogie
Firm and fully chase bass lines like bullies
All we wanna know is if your body wanna party
It's nuff poo tang tang for everybody
So hip up and split up get up
Get up your wit up souped up put your dukes up
No guts set up for sit ups flip up watch us rip up.
Shakes shows until they fizz up
Rizz up like your with us if not zip up
You lip up whip up.
Hits with ransom's foul styles get and ones
We come back cause we heard
Hip hop needed another anthem
Black like Noah in fact and for ya
If we was back in the days with the Drifters
We would've been known as the Flowers
Bevin these since the seventies
Find me so we went crazy in the eighties
So we won't kiss heinies in the nineties
Oops the Naughty's troop in sections of forties
So clap your hands and hold your shorty I'm Naughty.
",en
